race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,day,castingStat,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup,alias,difficulty,classType,keyStats,primaryClass,primaryDifficulty,primaryClassType,primaryKeyStats
Half Elf,Criminal,2019-01-11T15:30:21Z,['Fighter 4'],['Fighter'],['Arcane Archer'],4,['Crossbow Expert'],44,16,10,16,14,10,10,16,,"['Acrobatics', 'Sleight of Hand', 'Stealth', 'Arcana', 'Deception', 'Intimidation']",Scimitar|Handaxe|Longbow,,01 11 2019,Int,Italy,IT,,,,Half-Elf,,"['Scimitar', 'Handaxe', 'Longbow']",4-7,jolly_lumiere,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Human,Far Traveler,2019-01-07T18:53:03Z,['Rogue 4'],['Rogue'],['Scout'],4,"['Actor', 'Skulker']",28,15,7,18,14,12,10,16,,"['Athletics', 'Stealth', 'Nature', 'Insight', 'Perception', 'Survival', 'Deception', 'Intimidation', 'Persuasion']",Rapier|Shortbow|Dagger,,01 07 2019,Int,Ireland,IE,,,,Human,,"['Rapier', 'Shortbow', 'Dagger']",4-7,quirky_saha,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
Gray Dwarf,Soldier,2019-01-06T04:08:00Z,['Fighter 4'],['Fighter'],['Battle Master'],4,['Polearm Master'],46,17,17,10,17,12,12,6,,"['Athletics', 'History', 'Perception', 'Intimidation']",Halberd|Lance|Handaxe,,01 05 2019,Int,Canada,CA,,,,Dwarf,,"['Halberd', 'Lance', 'Handaxe']",4-7,mystifying_taussig,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Human,Inheritor,2019-01-05T12:06:22Z,['Wizard 4'],['Wizard'],['Theurgy'],4,"['Skilled', 'Prodigy']",26,11,8,12,14,16,14,10,,"['Athletics', 'Stealth', 'Arcana', 'Investigation', 'Religion', 'Insight', 'Medicine', 'Perception', 'Survival']",Dagger,,01 05 2019,Int,Canada,CA,,,,Human,,['Dagger'],4-7,blissful_johnson,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
High Elf,Urchin,2019-01-05T03:12:26Z,['Bard 4'],['Bard'],['College of Glamour'],4,['Tavern Brawler'],44,15,12,19,17,17,9,17,,"['Sleight of Hand', 'Stealth', 'Perception', 'Deception', 'Performance', 'Persuasion']",Rapier|Dagger,,01 04 2019,Cha,United States,US,,,,Elf,,"['Rapier', 'Dagger']",4-7,condescending_benz,Challenging,Hybrid,Cha,Bard,Challenging,Hybrid,Cha
Lightfoot Halfling,Charlatan,2018-12-29T19:42:31Z,['Rogue 4'],['Rogue'],['Swashbuckler'],4,['Crossbow Expert'],28,14,12,16,13,14,9,14,,"['Sleight of Hand', 'Stealth', 'Investigation', 'Deception', 'Intimidation', 'Performance']",Rapier|Shortbow|Dagger,,12 29 2018,Int,United States,US,,,,Halfling,,"['Rapier', 'Shortbow', 'Dagger']",4-7,elated_sammet,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
Mountain Dwarf,Soldier,2018-12-29T01:09:04Z,['Cleric 4'],['Cleric'],['Life Domain'],4,[nan],35,19,16,10,16,8,16,12,neutral good,"['Athletics', 'Insight', 'Intimidation', 'Persuasion']","Warhammer|Crossbow, light","Guidance*0|Spare The Dying*0|Light*0|Bless*1|Cure Wounds*1|Shield Of Faith*1|Guiding Bolt

*1|Healing Word*1|Lesser Restoration*2|Spiritual Weapon*2|Hold Person*2|Prayer Of Healing*2|Silence*2|Warding Bond*2",12 28 2018,Wis,United States,US,NG,,,Dwarf,"{'0': ['Guidance', 'Spare the Dying', 'Light'], '1': ['Bless', 'Cure Wounds', 'Shield of Faith', 'Guiding Bolt', 'Healing Word'], '2': ['Lesser Restoration', 'Spiritual Weapon', 'Hold Person', 'Prayer of Healing', 'Silence', 'Warding Bond']}","['Warhammer', 'Crossbow, Light']",4-7,naughty_saha,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Tiefling,Criminal,2018-12-25T00:17:05Z,['Bard 4'],['Bard'],['College of Glamour'],4,[nan],22,12,13,14,12,12,12,17,,"['Sleight of Hand', 'Stealth', 'Animal Handling', 'Deception', 'Performance']",Dagger|Dagger,,12 24 2018,Cha,United States,US,,,,Tiefling,,['Dagger'],4-7,stoic_torvalds,Challenging,Hybrid,Cha,Bard,Challenging,Hybrid,Cha
Human,Cloistered Scholar,2018-12-25T00:08:26Z,['Cleric 4'],['Cleric'],['Life Domain'],4,['Tavern Brawler'],30,12,12,11,13,11,15,10,,"['History', 'Religion', 'Insight', 'Persuasion']",Mace,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2,12 24 2018,Wis,United States,US,,,,Human,"{'1': ['Bless', 'Cure Wounds'], '2': ['Lesser Restoration', 'Spiritual Weapon']}",['Mace'],4-7,hardcore_hertz,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Human,Mercenary Veteran,2018-12-25T00:08:13Z,['Barbarian 4'],['Barbarian'],['Path of the Berserker'],4,[nan],41,15,18,16,15,12,12,10,,"['Athletics', 'Perception', 'Intimidation', 'Persuasion']",Greataxe|Handaxe|Javelin,,12 24 2018,Int,United States,US,,,,Human,,"['Greataxe', 'Handaxe', 'Javelin']",4-7,hungry_proskuriakova,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Dragonborn,Charlatan,2018-12-25T00:05:34Z,['Rogue 4'],['Rogue'],['Mastermind'],4,[nan],36,11,9,12,12,12,16,18,,"['Sleight of Hand', 'Perception', 'Deception', 'Persuasion']",Rapier|Shortbow|Dagger,,12 24 2018,Int,United States,US,,,,Dragonborn,,"['Rapier', 'Shortbow', 'Dagger']",4-7,vibrant_maxwell,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
Wood Elf,Far Traveler,2018-12-21T00:16:08Z,['Fighter 4'],['Fighter'],['Arcane Archer'],4,['Sharpshooter'],36,15,10,18,13,15,12,10,,"['Acrobatics', 'Nature', 'Insight', 'Perception', 'Survival']",Longbow|Shortsword|Shortsword|Handaxe,,12 20 2018,Int,United States,US,,,,Elf,,"['Longbow', 'Shortsword', 'Handaxe']",4-7,relaxed_mayer,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Half Elf,Bounty Hunter,2018-12-20T21:43:33Z,['Warlock 4'],['Warlock'],['The Hexblade'],4,['Spell Sniper'],39,18,14,18,16,11,12,20,NG,"['Athletics', 'Stealth', 'Investigation', 'Perception', 'Intimidation', 'Persuasion']","Dagger|Longsword|Crossbow, Light|Eldritch Blast",Mage Hand - R30*0|Prestigation*0|Minor Illusion - R30*0|Shape Water*0|Message*0|Mending*0|Eldritch Blast  - R240*0|Hex - R90*1|Speak With Animals - Ritual Only*1|Armor Of Agathy's 10 Hpts*1|Hexblade Curse - R30*1|Alarm - Ritual Only*1|Comprehend Languages - Ritual*1|Witch Bolt 2D12 - R60*1|Mirror Image*2,12 20 2018,Cha,United States,US,NG,,,Half-Elf,"{'0': ['Mage Hand', 'Prestidigitation', 'Minor Illusion', 'Shape Water', 'Message', 'Mending', 'Eldritch Blast'], '1': ['Hex', 'Speak with Animals', 'Comprehend Languages', 'Witch Bolt'], '2': ['Mirror Image']}","['Dagger', 'Longsword', 'Crossbow, Light']",4-7,sharp_hoover,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
Human,Cloistered Scholar,2018-12-18T01:55:39Z,['Wizard 4'],['Wizard'],['War Magic'],4,['Linguist'],26,11,8,13,15,19,10,12,,"['Arcana', 'History', 'Investigation', 'Religion', 'Insight']","Dagger|Crossbow, light",,12 17 2018,Int,Australia,AU,,,,Human,,"['Dagger', 'Crossbow, Light']",4-7,modest_agnesi,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Mountain Dwarf,Mercenary Veteran,2018-12-17T02:27:51Z,['Fighter 4'],['Fighter'],['Battle Master'],4,['Tough'],58,20,19,14,20,14,13,15,lawful neutral  ,"['Athletics', 'Perception', 'Intimidation', 'Persuasion']",Battleaxe|Handaxe|Longsword,,12 16 2018,Str,Australia,AU,LN,,,Dwarf,,"['Battleaxe', 'Handaxe', 'Longsword']",4-7,sad_hodgkin,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Minotaur,Criminal,2018-12-16T15:12:56Z,['Paladin 4'],['Paladin'],['OathBreaker'],4,[nan],40,14,15,13,16,10,8,15,,"['Stealth', 'Insight', 'Deception', 'Intimidation', 'Persuasion']",Greatsword|Handaxe,Hellish Rebuke*1|Inflict Wounds*1|Cure Wounds*1|Command*1,12 16 2018,Cha,Canada,CA,,,,Minotaur,"{'1': ['Hellish Rebuke', 'Inflict Wounds', 'Cure Wounds', 'Command']}","['Greatsword', 'Handaxe']",4-7,cranky_tesla,Easy,Hybrid,"['Str', 'Cha']",Paladin,Easy,Hybrid,"['Str', 'Cha']"
Centaur,Criminal,2018-12-16T15:12:18Z,['Wizard 4'],['Wizard'],['School of Evocation'],4,[nan],26,10,15,11,14,9,13,15,,"['Stealth', 'Investigation', 'Insight', 'Survival', 'Deception']",Dagger,Light*0|Mage Hand*0| Minor Illusion*0|Shocking Grasp*0|Burning Hands*1|Floating Disk*1|Magic Missle*1|Thunderwave*1|Flaming Sphere*2|Shatter*2,12 16 2018,Int,Canada,CA,,,,Centaur,"{'0': ['Light', 'Mage Hand', 'Minor Illusion', 'Shocking Grasp'], '1': ['Burning Hands', 'Magic Missile', 'Thunderwave'], '2': ['Flaming Sphere', 'Shatter']}",['Dagger'],4-7,gifted_mclean,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Lineage Baal,Criminal,2018-12-16T15:11:38Z,['Barbarian 4'],['Barbarian'],['Path of the Zealot'],4,[nan],37,10,15,9,13,15,10,15,,"['Stealth', 'Perception', 'Deception', 'Intimidation']",Warhammer|Sickle|Javelin,,12 16 2018,Int,Canada,CA,,,,Tiefling,,"['Warhammer', 'Sickle', 'Javelin']",4-7,peaceful_clarke,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Dark Elf,Outlander,2018-12-14T22:02:15Z,['Ranger 4'],['Ranger'],['Hunter'],4,[nan],32,16,18,14,13,11,16,12,Neutral,"['Athletics', 'Investigation', 'Nature', 'Perception', 'Survival']",Javelin|Handaxe|Longsword,Dancing Lights*0|Faerie Fire*1|Alarm*1|Longstrider*1|Snare*1,12 14 2018,Wis,United Kingdom,GB,NN,,,Elf,"{'0': ['Dancing Lights'], '1': ['Faerie Fire', 'Alarm', 'Longstrider', 'Snare']}","['Javelin', 'Handaxe', 'Longsword']",4-7,bold_raman,Easy,Hybrid,"['Wis', 'Dex']",Ranger,Easy,Hybrid,"['Wis', 'Dex']"
Hill Dwarf,Hermit,2018-12-14T03:07:47Z,['Druid 4'],['Druid'],['Circle of the Moon'],4,[nan],43,17,10,16,18,11,20,5,,"['Stealth', 'Nature', 'Medicine', 'Survival']",Quarterstaff|Shillelagh Staff|Sharpen Bone,,12 13 2018,Wis,New Zealand,NZ,,,,Dwarf,,['Quarterstaff'],4-7,unruffled_cocks,Challenging,Magical,Wis,Druid,Challenging,Magical,Wis
Wood Elf,Sage,2018-12-11T01:03:22Z,['Cleric 4'],['Cleric'],['Light Domain'],4,[nan],31,18,8,15,14,10,18,12,,"['Arcana', 'History', 'Religion', 'Medicine', 'Perception']",Shortbow|Rapier,Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2,12 10 2018,Wis,Australia,AU,,,,Elf,"{'0': ['Light'], '1': ['Burning Hands', 'Faerie Fire'], '2': ['Flaming Sphere', 'Scorching Ray']}","['Shortbow', 'Rapier']",4-7,vibrant_hofstadter,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Human,Criminal,2018-12-08T18:48:28Z,['Rogue 4'],['Rogue'],['Thief'],4,"['Observant', 'Magic Initiate']",44,18,8,19,16,15,19,18,Chaotic Neutral,"['Acrobatics', 'Sleight of Hand', 'Stealth', 'Investigation', 'Perception', 'Deception', 'Intimidation']",Shortsword|Shortsword|Dagger,Acid splash*0|Light*0|Find Familiar 1/day*1,12 08 2018,Int,United States,US,CN,,,Human,"{'0': ['Acid Splash', 'Light'], '1': ['Find Familiar']}","['Shortsword', 'Dagger']",4-7,nostalgic_gauss,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
Dragonborn,Folk Hero,2018-12-07T16:21:50Z,['Barbarian 4'],['Barbarian'],['Path of the Zealot'],4,[nan],45,12,18,10,15,10,10,14,,"['Athletics', 'Animal Handling', 'Perception', 'Survival']",Greataxe|Handaxe|Javelin,,12 07 2018,Int,Singapore,SG,,,,Dragonborn,,"['Greataxe', 'Handaxe', 'Javelin']",4-7,gallant_shtern,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Hill Dwarf,Acolyte,2018-12-06T13:57:22Z,['Cleric 4'],['Cleric'],['Light Domain'],4,[nan],48,14,14,6,18,12,16,13,Lawful Good,"['History', 'Religion', 'Insight', 'Medicine']",Warhammer|Handaxe,Light*0|Sacred Flame*0|Spare The Dying*0|Burning Hands*1|Faerie Fire*1|Cure Wounds*1|Shield Of Faith*1|Flaming Sphere*2|Scorching Ray*2|Prayer Of Healing*2,12 06 2018,Wis,United States,US,LG,,,Dwarf,"{'0': ['Light', 'Sacred Flame', 'Spare the Dying'], '1': ['Burning Hands', 'Faerie Fire', 'Cure Wounds', 'Shield of Faith'], '2': ['Flaming Sphere', 'Scorching Ray', 'Prayer of Healing']}","['Warhammer', 'Handaxe']",4-7,amazing_goldwasser,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Kobold,Dragon Monk,2018-12-04T05:10:33Z,['Monk 4'],['Monk'],['Way of the Sun Soul'],4,[nan],45,20,13,20,18,11,20,12,Lawful Good,"['Athletics', 'Arcana', 'History', 'Nature', 'Animal Handling', 'Survival', 'Performance']",Unarmed Strike|Sling|Shortsword|Radiant Attack,,12 03 2018,Int,United States,US,LG,,,Kobold,,"['Unarmed Strike', 'Sling', 'Shortsword']",4-7,peaceful_poitras,Medium,Combat,"['Wis', 'Dex']",Monk,Medium,Combat,"['Wis', 'Dex']"
Half Orc,Hermit,2018-12-02T23:37:20Z,['Paladin 4'],['Paladin'],['Oath of Vengeance'],4,['Alert'],36,18,17,10,14,8,12,14,Lawful Neutral,"['Athletics', 'Religion', 'Medicine', 'Intimidation', 'Persuasion']","Battleaxe|Javelin|Crossbow, Light",Bane*1|Hunter’s Mark*1,12 02 2018,Cha,Canada,CA,LN,,,Half-Orc,"{'1': ['Bane', ""Hunter's Mark""]}","['Battleaxe', 'Javelin', 'Crossbow, Light']",4-7,bold_johnson,Easy,Hybrid,"['Str', 'Cha']",Paladin,Easy,Hybrid,"['Str', 'Cha']"
Human,Guild Artisan,2018-12-01T17:17:03Z,['Artificer 4'],['Artificer'],['Gunsmith'],4,['Keen Mind'],37,18,13,20,16,18,14,14,NG,"['Arcana', 'History', 'Investigation', 'Insight', 'Perception', 'Persuasion']","Handaxe|Crossbow, light|Thunder Cannon|Thunder Monger",Mending*0|Identify (Ritual)*1|Detect Magic (Ritual)*1|Alarm (Ritual)*1|Cure Wounds*1|Disguise Self*1|Shield of Faith*1,12 01 2018,Int,United States,US,NG,,,Human,"{'0': ['Mending'], '1': ['Identify', 'Detect Magic', 'Alarm', 'Cure Wounds', 'Disguise Self', 'Shield of Faith']}","['Handaxe', 'Crossbow, Light']",4-7,sharp_swartz,[],[],[],Artificer,[],[],[]
Dragonborn,Outlander,2018-12-01T03:42:54Z,['Ranger 4'],['Ranger'],['Monster Slayer'],4,[nan],40,16,13,16,15,10,11,11,,"['Athletics', 'Stealth', 'Nature', 'Animal Handling', 'Survival']",Dragon Shortsword|Oath Bow,Protection from Evil and Good*1|Hunter's Mark*1|Hail Of Thorns*1|Cure Wounds *1,11 30 2018,Wis,United States,US,,,,Dragonborn,"{'1': ['Protection from Evil and Good', ""Hunter's Mark"", 'Hail of Thorns', 'Cure Wounds']}",['Shortsword'],4-7,keen_raman,Easy,Hybrid,"['Wis', 'Dex']",Ranger,Easy,Hybrid,"['Wis', 'Dex']"
High Elf,Clan Crafter,2018-11-28T22:14:38Z,['Fighter 4'],['Fighter'],['Champion'],4,"['Heavy Armor Master', 'Magic Initiate']",57,17,10,18,14,14,10,10,Chaotic Good,"['Arcana', 'History', 'Investigation', 'Nature', 'Insight', 'Perception']","Dagger|Crossbow, light|Thunder Cannon|Hand Cannon|Shortsword",Toll the Dead*0|Mending*0|Cure Wounds*1|Longstrider*1|Shield of Faith*1|False Life*1|Detect Magic*1|Identify*1,11 28 2018,Int,United States,US,CG,,,Elf,"{'0': ['Toll the Dead', 'Mending'], '1': ['Cure Wounds', 'Longstrider', 'Shield of Faith', 'False Life', 'Detect Magic', 'Identify']}","['Dagger', 'Crossbow, Light', 'Shortsword']",4-7,magical_noether,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Variant,Cloistered Scholar,2018-11-25T20:58:54Z,['Wizard 4'],['Wizard'],['School of Transmutation'],4,['Keen Mind'],14,12,10,14,8,20,10,18,,"['Arcana', 'History', 'Investigation', 'Nature']",Quarterstaff,,11 25 2018,Int,United States,US,,,,Half-Elf,,['Quarterstaff'],4-7,goofy_borg,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
High Elf,Sailor,2018-11-25T15:04:29Z,['Monk 4'],['Monk'],['Way of the Open Hand'],4,[nan],32,17,8,19,15,13,17,11,,"['Athletics', 'Acrobatics', 'Stealth', 'Perception']",Shortbow|Dart|Unarmed strike,Mage Hand 256 30ft*0,11 25 2018,Int,United States,US,,,,Elf,{'0': ['Mage Hand']},"['Shortbow', 'Dart', 'Unarmed Strike']",4-7,affectionate_carson,Medium,Combat,"['Wis', 'Dex']",Monk,Medium,Combat,"['Wis', 'Dex']"
Lightfoot Halfling,Criminal,2018-11-25T00:51:40Z,['Rogue 4'],['Rogue'],['Thief'],4,[nan],28,15,11,16,12,11,11,12,Lawful Neutral,"['Acrobatics', 'Sleight of Hand', 'Stealth', 'Investigation', 'Perception', 'Deception']",Shortsword|Shortsword|Dagger,,11 24 2018,Int,United States,US,LN,,,Halfling,,"['Shortsword', 'Dagger']",4-7,hungry_chaplygin,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
Scourge Aasimar,Cloistered Scholar,2018-11-21T21:02:06Z,['Warlock 4'],['Warlock'],['The Hexblade'],4,[nan],31,14,8,16,14,8,12,18,,"['Arcana', 'History', 'Deception', 'Intimidation', 'Persuasion']",Dagger|Greatsword,Eldrich Blast*0|Green-Flame Blade*0|Mage Hand*0|Shield*1|Blur*2|Branding Smite*2|İnvisibility*2|Misty Step*2,11 21 2018,Cha,Turkey,TR,,,,Aasimar,"{'0': ['Eldritch Blast', 'Green-Flame Blade', 'Mage Hand'], '1': ['Shield'], '2': ['Blur', 'Branding Smite', 'Invisibility', 'Misty Step']}","['Dagger', 'Greatsword']",4-7,crazy_roentgen,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
Human,Former Tavern Wench,2018-11-19T23:03:05Z,['Barbarian 4'],['Barbarian'],['Path of the Berserker'],4,"['Tavern Brawler', 'Durable']",49,15,15,13,18,8,10,12,,"['Insight', 'Perception', 'Survival', 'Intimidation', 'Persuasion']",Greataxe|Handaxe|Javelin|Frying Pan,,11 19 2018,Int,Australia,AU,,,,Human,,"['Greataxe', 'Handaxe', 'Javelin']",4-7,tender_kalam,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Goblin,Folk Hero,2018-11-18T17:58:05Z,['Ranger 4'],['Ranger'],['Monster Slayer'],4,[nan],40,14,13,16,17,13,10,8,,"['Athletics', 'Stealth', 'Nature', 'Animal Handling', 'Survival']",Shortsword|Longbow,Protection from Evil and Good*1,11 18 2018,Wis,Canada,CA,,,,Goblin,{'1': ['Protection from Evil and Good']},"['Shortsword', 'Longbow']",4-7,fervent_clarke,Easy,Hybrid,"['Wis', 'Dex']",Ranger,Easy,Hybrid,"['Wis', 'Dex']"
Goliath,Criminal,2018-11-18T17:55:01Z,['Rogue 4'],['Rogue'],['Inquisitive'],4,[nan],31,14,15,16,15,8,10,13,,"['Athletics', 'Sleight of Hand', 'Stealth', 'Investigation', 'Insight', 'Perception', 'Deception']",Shortsword|Shortbow|Dagger,,11 18 2018,Int,Canada,CA,,,,Goliath,,"['Shortsword', 'Shortbow', 'Dagger']",4-7,heuristic_carson,Medium,Combat,Dex,Rogue,Medium,Combat,Dex
Human,Waitress,2018-11-18T10:23:49Z,['Barbarian 4'],['Barbarian'],['Path of the Berserker'],4,"['Tavern Brawler', 'Durable']",61,15,17,13,18,8,10,12,,"['Insight', 'Intimidation', 'Persuasion']",Greataxe|Javelin|Unarmed strike|Club,,11 18 2018,Int,Australia,AU,,,,Human,,"['Greataxe', 'Javelin', 'Unarmed Strike', 'Club']",4-7,nifty_agnesi,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Serpentblood,Urban Bounty Hunter,2018-11-16T20:09:50Z,['Paladin 4'],['Paladin'],['Oath of Death'],4,['Magic Initiate'],56,17,18,15,18,15,15,20,,"['Insight', 'Deception', 'Intimidation', 'Persuasion']",Deathscythe|Shortsword|Dagger,Poison Spray*0|Animal Friendship (Snakes)*0|Cure Wounds*1|Inflict Wounds*1|Purify Food And Drink*1|Suggestion ( 1/day)*1|Chaos Bolt (1/day)*1,11 16 2018,Cha,United States,US,,,,Yaun-Ti,"{'0': ['Poison Spray'], '1': ['Cure Wounds', 'Inflict Wounds', 'Purify Food and Drink', 'Chaos Bolt']}","['Shortsword', 'Dagger']",4-7,frosty_knuth,Easy,Hybrid,"['Str', 'Cha']",Paladin,Easy,Hybrid,"['Str', 'Cha']"
Human,Soldier,2018-11-14T05:24:21Z,['Fighter 4'],['Fighter'],['Battle Master'],4,['Great Weapon Master'],45,16,18,16,18,11,13,12,Neitral Good,"['Athletics', 'Acrobatics', 'Investigation', 'Perception', 'Intimidation']","Mistweaver|Warhammer|Crossbow, Light",,11 13 2018,Int,Canada,CA,NG,,,Human,,"['Warhammer', 'Crossbow, Light']",4-7,jovial_moore,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Shifter (Wildhunt),City Watch,2018-11-13T14:51:52Z,['Ranger 4'],['Ranger'],['Beast Master'],4,[nan],36,16,11,18,14,8,14,12,Neutral,"['Athletics', 'Stealth', 'Investigation', 'Nature', 'Insight', 'Perception', 'Survival']",Shortsword|Longbow|Whip,Cure Wounds*1|Zephyr Strike*1|Hunter's Mark*1,11 13 2018,Wis,United States,US,NN,,,,"{'1': ['Cure Wounds', 'Zephyr Strike', ""Hunter's Mark""]}","['Shortsword', 'Longbow', 'Whip']",4-7,quirky_maxwell,Easy,Hybrid,"['Wis', 'Dex']",Ranger,Easy,Hybrid,"['Wis', 'Dex']"
Wolf,Wolf,2018-11-13T14:28:42Z,['Fighter 4'],['Fighter'],['Champion'],4,"['Heavy Armor Master', 'Magic Initiate']",17,17,12,16,12,4,12,6,Wolf,"['Acrobatics', 'Stealth', 'Perception', 'Survival']",Bite,,11 13 2018,Int,United States,US,,,,,,[nan],4-7,happy_brattain,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Human,Charlatan,2018-11-11T11:25:41Z,['Bard 4'],['Bard'],['College of Glamour'],4,[nan],27,13,9,15,11,13,14,18,,"['Sleight of Hand', 'Deception', 'Intimidation', 'Performance', 'Persuasion']",Rapier|Dagger,,11 11 2018,Cha,United States,US,,,,Human,,"['Rapier', 'Dagger']",4-7,dreamy_goldwasser,Challenging,Hybrid,Cha,Bard,Challenging,Hybrid,Cha
Human,Outlander,2018-11-11T00:21:52Z,['Druid 4'],['Druid'],['Circle of the Moon'],4,['Lucky'],35,12,15,12,16,13,16,13,,"['Athletics', 'Arcana', 'Nature', 'Survival']",Quarterstaff|Handaxe,Shillelagh*0|Produce Flame*0|Speak With Animals*1|Entangle*1,11 10 2018,Wis,United States,US,,,,Human,"{'0': ['Shillelagh', 'Produce Flame'], '1': ['Speak with Animals', 'Entangle']}","['Quarterstaff', 'Handaxe']",4-7,heuristic_engelbart,Challenging,Magical,Wis,Druid,Challenging,Magical,Wis
Eladrin Tof,Urban Bounty Hunter,2018-11-05T22:29:31Z,['Sorcerer 4'],['Sorcerer'],['Storm Sorcery'],4,[nan],26,13,8,16,14,12,8,18,Neutral Good,"['Stealth', 'Perception', 'Deception', 'Intimidation', 'Persuasion']",,Fire Bolt*0|Frostbite*0|Shocking Grasp*0|Mage Hand*0|Friends*0|Shield*1|Magic Missile*1|Enhance Ability*2|Mirror Image*2|Maximilian's Earthen Grasp*2,11 05 2018,Cha,Canada,CA,NG,,,Eladrin,"{'0': ['Fire Bolt', 'Frostbite', 'Shocking Grasp', 'Mage Hand', 'Friends'], '1': ['Shield', 'Magic Missile'], '2': ['Enhance Ability', 'Mirror Image', ""Maximilian's Earthen Grasp""]}",[nan],4-7,modest_perlman,Challenging,Magical,Cha,Sorcerer,Challenging,Magical,Cha
Human,Sage,2018-11-04T09:11:10Z,['Paladin 4'],['Paladin'],['Oath of Redemption'],4,[nan],34,17,16,8,13,12,14,18,,"['Arcana', 'History', 'Religion', 'Persuasion']",Warhammer|Net,Sanctuary*1|Sleep*1,11 04 2018,Cha,Canada,CA,,,,Human,"{'1': ['Sanctuary', 'Sleep']}","['Warhammer', 'Net']",4-7,competent_greider,Easy,Hybrid,"['Str', 'Cha']",Paladin,Easy,Hybrid,"['Str', 'Cha']"
Lineage Glas,Urban Bounty Hunter,2018-10-22T19:18:44Z,['Monk 4'],['Monk'],['Way of Shadow'],4,[nan],37,15,10,18,14,12,13,10,,"['Athletics', 'Stealth', 'Insight', 'Deception']",Sickle|Dart|Unarmed Strike,Minor Illusion*0|Thaumaturgy*0|Disguise Self (once A Day)*0,10 22 2018,Int,United States,US,,,,Tiefling,"{'0': ['Minor Illusion', 'Thaumaturgy']}","['Sickle', 'Dart', 'Unarmed Strike']",4-7,fervent_sammet,Medium,Combat,"['Wis', 'Dex']",Monk,Medium,Combat,"['Wis', 'Dex']"
Lightfoot Halfling,Outlander,2018-10-14T15:06:06Z,['Fighter 4'],['Fighter'],['Battle Master'],4,['Tough'],44,14,8,17,14,10,14,11,,"['Athletics', 'Insight', 'Perception', 'Survival']",Longbow|Longsword|Handaxe,,10 14 2018,Int,Netherlands,NL,,,,Halfling,,"['Longbow', 'Longsword', 'Handaxe']",4-7,vigorous_johnson,Easy,Combat,"['Str', 'Dex']",Fighter,Easy,Combat,"['Str', 'Dex']"
Hill Dwarf,Soldier,2018-10-13T01:24:05Z,['Cleric 4'],['Cleric'],['Life Domain'],4,[nan],43,17,14,8,18,8,17,10,N Good,"['Athletics', 'Religion', 'Intimidation', 'Persuasion']","Mace|Handaxe|Crossbow, light",Guidance*0|Sacred Flame*0|Spare The Dying*0|Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2,10 12 2018,Wis,United States,US,NG,,,Dwarf,"{'0': ['Guidance', 'Sacred Flame', 'Spare the Dying'], '1': ['Bless', 'Cure Wounds'], '2': ['Lesser Restoration', 'Spiritual Weapon']}","['Mace', 'Handaxe', 'Crossbow, Light']",4-7,relaxed_fermat,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
